video_id,artist,title
76, Money Mark,World Lesson PtII
76, Money Mark,Revolt of the Octopi
76, Money Mark,Mark’s Keyboard Repair
76, Tortoise,Magnet Pulls Through
76, Swingin’ Utters,Come On
76, Pao,Mister Sunshine
76, Tommy Guerrero,Soul Miner
76,Tortoise,Tin Cans And Twine
76,Tortoise,Djed
79, Patty Smith,Horses
79, Black Sabbath,The Thrill Of It All
79, Peter Bjorn & John,Young Folks -
79, The Small Faces,Tin Soldier
82, Santo & Johnny,Sleepwalk
82, Bruce Springsteen,Johnny 99
82, Steely Dan,Do It Again
82, John Coltrane,Trane’s Blues
82, Steppenwolf,Born To Be Wild
82, Angelo Badalamenti,Dance Of The Dream Man
82, Propagandhi,Showdown
82, David Bowie,Ziggy Stardust
82, The Doors,Moonlight Drive
82, Dance Hall Crashers,Queen For A Day
82, Bad Religion,Stranger Than Fiction
82, Metallica,Metal Militia
82, Des’ree,Crazy Maze
82, The Specials’s,Ghost Town
84, Tony Manfre,Spring Beat
84, Glass Candy,Digital Veriscolor
84, Aux Raus,Wire
84, Starfucker,Dragon Queens
84, We Don’t Have Normal Lives,Freezepop
84, Rodent,Dial Your Number
89, Quickspace,Quasi Pfaff
89, The Cure,A Forest
89, The Stone Roses,Elephant Stone
89, Halah,Mazzy Star
89, Death In Vegas,Scorpio Rising
89, Flotation Toy Warning,Losing Carolina For Drusky
94, Plaid,Eyen
94, Another Pearl Broadcast remix
94, Portishead,Wandering Star
94, South,Paint the Silence
94, The Charlatans UK,Viva la Sociale
94, I Am Kloot,To You
94, South,Broken Head
94, Mogwai,2 Rights Make 1 Wrong
94, Doves,Here It Comes
94, Headshoppe,Live Recording
94, Mark Jackson & Hastie Castelberg,Yesterday
101, MOP,Stand Clear
101, Faction,Boredom Awaits
101, Odyssey,Going Back To My Roots
101, Status Quo,Ol’ Rag Blues
101, Motley Crue,Home Sweet Home
106, Eraserhead,In Heaven
106, Roy Orbison,Running Scared
106, Eurythmics,Love is a Stranger
106, Nina Simone,I Shall Be Released
106, New Order,True Faith
106, Billy Idol,Eyes Without A Face
106, Neil Young,Sedan Delivery
106, The The,Giant
106, Neil Young,Rainin’ In My Heart
106, Morrissey,Alsatian Cousin
106, Neil Young,Bad News Beat
106, The Clean,Quickstep
106, Roy Orbison,In Dreams
118,Lowercase,Harocore Reign
118,K Ners,K In Da Flash
118,Jon Kennedy,Live Test
118,Malakai,How Long
118,Tough Tuch,Tomorrow
118,Lowercase,I’m On It Unit
118,Smitherine,Japanese Tea
118,Jess Holiday & Frenic,Peekaboo
118,Pseudonym Beats,Devoid Of Vision
118,Lowercase,Space Beat
118,Se Fire,Tell No Lies
118,Stig Of The Dump,Braindead
118,Hugh Hardey,The End Of The Beginning
120, The Supremes,Reflections -
120, Spoon,The Two Sides Of Monsieur Valentine
120, Devendra Banhart,Santa Maria Da Feira
124, GoGo’s,Head Over Heels
124, Electric Six,Danger High Voltage
124, Sisters Of Mercy,This Corrosion
124, Heaven 17,Temptation
124, Gnarls Barkley,Run
124, Marlena Shaw,California Soul
124, ACDC,Shoot To Thrill Live
124, Devo,That’s Good
124, The GoGo’s,I Think I Need Sleep
124, British Sea Power,No Lucifer
124, Depeche Mode,Watch Out Here I Come
125, Built To Spill,Time Trap
125, Sharon Jones & The DapKings,I’m Not Gonna Cry
125, The Soledad Brothers,Sights Unseen
125, Echo & The Bunnymen,Senseless
125, The Pogues,Boys From The County Hell
125, The Troggs,With A Girl Like You
125, 13th Floor Elevators,Barnyard Blues
125, The Woolies,Who Do You Love
125, The BarKays,Freaky Behavior
125, Men Without Hats,The Safety Dance
125, Lee Hazelwood & Ann Margaret,Dark End Of The Street
125, The Open Mind,Magic Potion
125, Black Sabbath,Embryo
125, The House Of Love,Shine On
125, poem by Spine Poems
125, Foxface & Rody Gorman,Dreamcatcher
125, The Jam,That’s Entertainment
125, beats by Marcus Seiji Knavs
125, beats by Richard Houghten
125, Wang Chung,Everybody Have Fun Tonight
125, Red Feathers,Eyes Under Wool
125, Bob Dylan,Subterranean Homesick Blues
131,The Black Keys,Thickfreakness
131,Donovan,Riki Tiki Tavi
131,The Black Keys,Have Love Will Travel
131,Spirit,I Got A Line On You
133,Elliott Smith,In The Lost & Found
133,,Tired Of Waiting For You
134, Mr Scruff,Chipmunk
134, Mama Cass,California Earthquake
134, LMNO,Grin & Bear It
134, Souls of Mischief,Cab Fare
134, Elliott Smith,Happiness
134, Bob Dylan,Like A Rolling Stone
134, OC,Time’s Up
134, The Seahorses,You Can Talk To Me
134, Common,The 6th Sense
135,Alpha Prime,Misanthropic
136, The Supremes,Reflections -
136, Spoon,The Two Sides Of Monsieur Valentine
136, Devendra Banhart,Santa Maria Da Feira
153, Gwen Stefani,Danger Zone
153, Depeche Mode,Photographic
153, New York Dolls,Courageous Cat theme
153, The White Stripes,Fell In Love With A Girl
153, Marc Almond,The Days Of Pearly Spencer
153, The Ramones,Lobotomy
153, Sisters of Mercy,Temple of Love
153, Siouxsie and The Banshees,Kiss Them For Me
153, George Thorogood,Get A Haircut
153, The Idle Race,Days of the Broken Arrows
163, Track A Tiger,With Stars Down
163, Dozer,The Ventriloquist
163, Sasquatch,Get Out Of Here
163, Late Night Condition,Painkiller
163, Sasquatch,Chemical Lady
184, WuTang & DJ Noize,ODB Tribute
184, Beach Fossils,Vacation
184, Sean Price & XL,Credibility
184, Project Pat,Chickenhead feat La Chat & Three 6 Mafia
184, Ganglians,Valient Brave
184, WuTang vs The Beatles,Criminology
184, Crystal Castles,Baptism
184, Geto Boys,GCode
184, Crystal Castles,Doe Deer
202, The Scematics,Part Mie Jamie Hodge remix
202, DJ Vadim,Ninja Tunes
202, Jed,Come In From The Cold
202, Only Fools & Horses,Closing Theme
202, Circle Jerks,Wild In The Streets
202, Super U,Break Break Break
202, Sarabande From Harpsichord Suite
202, Diverse Universe,On A Them Of Wight
202, Wight Boys,Enry On Tick
202, Sum 1 2cu,Vatican Jet
202, Something To Talk About,Bedly Drawn Boy The Four Tet Convention remix
202, Playfull Energy,Kwame Laryea
202, My Last Serenade,Killswitch Engage
211,Talking Heads,Sugar On My Tongue
211,Repetition,A Full Rotation
211,Grace Jones,La Vie En Rose
211,LCD Soundsystem,Tribulations
211,Magazine,Rhythm Of Cruelty
211, The Game,Hate It Or Love it feat 50 Cent
211, Sleeper,Delicious
230, Explosions In The Sky,Yasmin The Light
230, Joy Division,Shadowplay
230, Kid Koala,Third World Lover
230, Gorillaz,Dare
230, The Knife,Parade
230, The Tornadoes,Bustin’ Surfboards
230, Sonic Youth,Reena
230, DJ Shadow,Building Steam with -
230, DJ Premier,Bangin Slamin Jam
230, DJ Shadow,Walkie Talkie
230, Wolfmother,Far Away
263, Film School,Intro
263, The Essex Green,Mrs Bean
263, The International Karate Plus,Hats Off To Harry Kewell
263, Suede,Moving
263, Vinyl,Who Gets The Blame
263, Tapes ‘n Tapes,The Illiad
263, Aaron Neville,Hercules
263, The Hermit Crabs,Feel Good Factor
263, The American Analog Set,A Schoolboy’s Charm
